"","HCC","beta"
"1","(Intercept)",2586.52059301844
"2","orig_dis",1519.07005383433
"3","num_hcc",2965.8197546427
"4","age_sexFemale_70-74",508.822015405518
"5","age_sexFemale_75-79",974.088047694578
"6","age_sexFemale_80-84",874.881116412644
"7","age_sexFemale_85-89",500.922083786157
"8","age_sexFemale_90+",-565.51473920136
"9","age_sexMale_65-69",-122.636364363354
"10","age_sexMale_70-74",615.996965574843
"11","age_sexMale_75-79",1601.86639796739
"12","age_sexMale_80-84",1699.94941875814
"13","age_sexMale_85-89",1380.76545996502
"14","age_sexMale_90+",378.880266401891
